"nm_prov","nm_kota","nm_kec","nm_desa","nm_dapil","bsndslhn","kwooarmn"
KEPULAUAN BANGKA BELITUNG,BELITUNG,BADAU,IBUL,KEPULAUAN BANGKA BELITUNG,134,659
KEPULAUAN BANGKA BELITUNG,BANGKA,BAKAM,BAKAM,KEPULAUAN BANGKA BELITUNG,804,373
KEPULAUAN BANGKA BELITUNG,BANGKA,BAKAM,KAPUK,KEPULAUAN BANGKA BELITUNG,454,357
KEPULAUAN BANGKA BELITUNG,BANGKA,BAKAM,DALIL,KEPULAUAN BANGKA BELITUNG,1119,797
KEPULAUAN BANGKA BELITUNG,BANGKA,BAKAM,NEKNANG,KEPULAUAN BANGKA BELITUNG,674,800
KEPULAUAN BANGKA BELITUNG,BANGKA,BAKAM,TIANG TARAH,KEPULAUAN BANGKA BELITUNG,428,663
KEPULAUAN BANGKA BELITUNG,BANGKA,BAKAM,MANGKA,KEPULAUAN BANGKA BELITUNG,376,290
KEPULAUAN BANGKA BELITUNG,BANGKA,BAKAM,MABAT,KEPULAUAN BANGKA BELITUNG,743,252
KEPULAUAN BANGKA BELITUNG,BANGKA,BAKAM,BUKIT LAYANG,KEPULAUAN BANGKA BELITUNG,1090,1037
KEPULAUAN BANGKA BELITUNG,BANGKA,BAKAM,MARAS SENANG,KEPULAUAN BANGKA BELITUNG,243,276
KEPULAUAN BANGKA BELITUNG,BANGKA,BELINYU,KUTO PANJI,KEPULAUAN BANGKA BELITUNG,767,3299
KEPULAUAN BANGKA BELITUNG,BANGKA,BELINYU,AIR JUKUNG,KEPULAUAN BANGKA BELITUNG,827,1627
KEPULAUAN BANGKA BELITUNG,BANGKA,BELINYU,BUKIT KETOK,KEPULAUAN BANGKA BELITUNG,513,1714
KEPULAUAN BANGKA BELITUNG,BANGKA,BELINYU,GUNUNG MUDA,KEPULAUAN BANGKA BELITUNG,516,2567
KEPULAUAN BANGKA BELITUNG,BANGKA,BELINYU,GUNUNG PELAWAN,KEPULAUAN BANGKA BELITUNG,221,1691
KEPULAUAN BANGKA BELITUNG,BANGKA,BELINYU,RIDING PANJANG,KEPULAUAN BANGKA BELITUNG,294,1753
KEPULAUAN BANGKA BELITUNG,BANGKA,BELINYU,LUMUT,KEPULAUAN BANGKA BELITUNG,136,852
KEPULAUAN BANGKA BELITUNG,BANGKA,BELINYU,BINTET,KEPULAUAN BANGKA BELITUNG,103,1273
KEPULAUAN BANGKA BELITUNG,BANGKA,BELINYU,REMODONG INDAH,KEPULAUAN BANGKA BELITUNG,83,1151
KEPULAUAN BANGKA BELITUNG,BANGKA,BELINYU,AIR ASAM,KEPULAUAN BANGKA BELITUNG,665,961
KEPULAUAN BANGKA BELITUNG,BANGKA,BELINYU,MANTUNG,KEPULAUAN BANGKA BELITUNG,452,1475
KEPULAUAN BANGKA BELITUNG,BANGKA,BELINYU,BELINYU,KEPULAUAN BANGKA BELITUNG,773,1995
KEPULAUAN BANGKA BELITUNG,KOTA PANGKALPINANG,BUKITINTAN,SEMABUNG LAMA,KEPULAUAN BANGKA BELITUNG,1312,2700
KEPULAUAN BANGKA BELITUNG,KOTA PANGKALPINANG,BUKITINTAN,BACANG,KEPULAUAN BANGKA BELITUNG,692,2258
KEPULAUAN BANGKA BELITUNG,KOTA PANGKALPINANG,BUKITINTAN,AIR ITAM,KEPULAUAN BANGKA BELITUNG,2014,1344
KEPULAUAN BANGKA BELITUNG,KOTA PANGKALPINANG,BUKITINTAN,PASIR PUTIH,KEPULAUAN BANGKA BELITUNG,485,2114
KEPULAUAN BANGKA BELITUNG,KOTA PANGKALPINANG,BUKITINTAN,TEMBERAN,KEPULAUAN BANGKA BELITUNG,1224,1139
KEPULAUAN BANGKA BELITUNG,KOTA PANGKALPINANG,BUKITINTAN,SINAR BULAN,KEPULAUAN BANGKA BELITUNG,1176,1738
KEPULAUAN BANGKA BELITUNG,KOTA PANGKALPINANG,BUKITINTAN,AIR MAWAR,KEPULAUAN BANGKA BELITUNG,341,1355
KEPULAUAN BANGKA BELITUNG,BELITUNG TIMUR,DAMAR,AIR KELIK,KEPULAUAN BANGKA BELITUNG,244,958
KEPULAUAN BANGKA BELITUNG,BELITUNG TIMUR,DAMAR,MEMPAYA,KEPULAUAN BANGKA BELITUNG,281,1141
KEPULAUAN BANGKA BELITUNG,BELITUNG TIMUR,DAMAR,BURONG MANDI,KEPULAUAN BANGKA BELITUNG,93,807
KEPULAUAN BANGKA BELITUNG,BELITUNG TIMUR,DAMAR,MENGKUBANG,KEPULAUAN BANGKA BELITUNG,386,1549
KEPULAUAN BANGKA BELITUNG,BELITUNG TIMUR,DAMAR,SUKAMANDI,KEPULAUAN BANGKA BELITUNG,374,1813
KEPULAUAN BANGKA BELITUNG,BELITUNG TIMUR,DENDANG,DENDANG,KEPULAUAN BANGKA BELITUNG,253,921
KEPULAUAN BANGKA BELITUNG,BELITUNG TIMUR,DENDANG,JANGKANG,KEPULAUAN BANGKA BELITUNG,480,1524
KEPULAUAN BANGKA BELITUNG,BELITUNG TIMUR,DENDANG,NYURUK,KEPULAUAN BANGKA BELITUNG,484,1480
KEPULAUAN BANGKA BELITUNG,BELITUNG TIMUR,DENDANG,BALOK,KEPULAUAN BANGKA BELITUNG,359,983
KEPULAUAN BANGKA BELITUNG,KOTA PANGKALPINANG,GABEK,SELINDUNG BARU,KEPULAUAN BANGKA BELITUNG,1567,1277
KEPULAUAN BANGKA BELITUNG,KOTA PANGKALPINANG,GABEK,AIR SALEMBA,KEPULAUAN BANGKA BELITUNG,490,1446
KEPULAUAN BANGKA BELITUNG,KOTA PANGKALPINANG,GABEK,SELINDUNG,KEPULAUAN BANGKA BELITUNG,1758,1453
KEPULAUAN BANGKA BELITUNG,KOTA PANGKALPINANG,GABEK,GABEK SATU,KEPULAUAN BANGKA BELITUNG,1529,1246
KEPULAUAN BANGKA BELITUNG,KOTA PANGKALPINANG,GABEK,GABEK DUA,KEPULAUAN BANGKA BELITUNG,1644,1946
KEPULAUAN BANGKA BELITUNG,KOTA PANGKALPINANG,GABEK,JERAMBAH GANTUNG,KEPULAUAN BANGKA BELITUNG,1039,1341
KEPULAUAN BANGKA BELITUNG,BELITUNG TIMUR,GANTUNG,GANTUNG,KEPULAUAN BANGKA BELITUNG,562,2399
KEPULAUAN BANGKA BELITUNG,BELITUNG TIMUR,GANTUNG,SELINSING,KEPULAUAN BANGKA BELITUNG,544,2576
KEPULAUAN BANGKA BELITUNG,BELITUNG TIMUR,GANTUNG,JANGKAR ASAM,KEPULAUAN BANGKA BELITUNG,135,796
KEPULAUAN BANGKA BELITUNG,BELITUNG TIMUR,GANTUNG,LILANGAN,KEPULAUAN BANGKA BELITUNG,382,1600
KEPULAUAN BANGKA BELITUNG,BELITUNG TIMUR,GANTUNG,LENGGANG,KEPULAUAN BANGKA BELITUNG,468,1825
KEPULAUAN BANGKA BELITUNG,BELITUNG TIMUR,GANTUNG,BATU PENYU,KEPULAUAN BANGKA BELITUNG,491,2391
KEPULAUAN BANGKA BELITUNG,BELITUNG TIMUR,GANTUNG,LIMBONGAN,KEPULAUAN BANGKA BELITUNG,87,791
KEPULAUAN BANGKA BELITUNG,KOTA PANGKALPINANG,GERUNGGANG,TAMAN BUNGA,KEPULAUAN BANGKA BELITUNG,1434,1259
KEPULAUAN BANGKA BELITUNG,KOTA PANGKALPINANG,GERUNGGANG,BUKITMERAPIN,KEPULAUAN BANGKA BELITUNG,2971,2175
KEPULAUAN BANGKA BELITUNG,KOTA PANGKALPINANG,GERUNGGANG,BUKITSARI,KEPULAUAN BANGKA BELITUNG,1459,1424
KEPULAUAN BANGKA BELITUNG,KOTA PANGKALPINANG,GERUNGGANG,TUATUNU INDAH,KEPULAUAN BANGKA BELITUNG,3225,920
KEPULAUAN BANGKA BELITUNG,KOTA PANGKALPINANG,GERUNGGANG,KACANG PEDANG,KEPULAUAN BANGKA BELITUNG,2569,1498
KEPULAUAN BANGKA BELITUNG,KOTA PANGKALPINANG,GERUNGGANG,AIR KEPALA TUJUH,KEPULAUAN BANGKA BELITUNG,1646,1035
KEPULAUAN BANGKA BELITUNG,KOTA PANGKALPINANG,GIRIMAYA,SEMABUNG BARU,KEPULAUAN BANGKA BELITUNG,882,1616
KEPULAUAN BANGKA BELITUNG,KOTA PANGKALPINANG,GIRIMAYA,SRIWIJAYA,KEPULAUAN BANGKA BELITUNG,1039,1228
KEPULAUAN BANGKA BELITUNG,KOTA PANGKALPINANG,GIRIMAYA,PASAR PADI,KEPULAUAN BANGKA BELITUNG,124,927
KEPULAUAN BANGKA BELITUNG,KOTA PANGKALPINANG,GIRIMAYA,BATU INTAN,KEPULAUAN BANGKA BELITUNG,172,1478
KEPULAUAN BANGKA BELITUNG,KOTA PANGKALPINANG,GIRIMAYA,BUKITBESAR,KEPULAUAN BANGKA BELITUNG,1464,1895
KEPULAUAN BANGKA BELITUNG,BANGKA BARAT,JEBUS,JEBUS,KEPULAUAN BANGKA BELITUNG,657,1022
KEPULAUAN BANGKA BELITUNG,BANGKA BARAT,JEBUS,SUNGAI BULUH,KEPULAUAN BANGKA BELITUNG,492,356
KEPULAUAN BANGKA BELITUNG,BANGKA BARAT,JEBUS,TUMBAK PETAR,KEPULAUAN BANGKA BELITUNG,772,755
KEPULAUAN BANGKA BELITUNG,BANGKA BARAT,JEBUS,LIMBUNG,KEPULAUAN BANGKA BELITUNG,210,304
KEPULAUAN BANGKA BELITUNG,BANGKA BARAT,JEBUS,RUKAM,KEPULAUAN BANGKA BELITUNG,218,568
KEPULAUAN BANGKA BELITUNG,BANGKA BARAT,JEBUS,RANGGI ASAM,KEPULAUAN BANGKA BELITUNG,549,1011
KEPULAUAN BANGKA BELITUNG,BANGKA BARAT,JEBUS,KETAP,KEPULAUAN BANGKA BELITUNG,283,800
KEPULAUAN BANGKA BELITUNG,BANGKA BARAT,JEBUS,MISLAK,KEPULAUAN BANGKA BELITUNG,354,645
KEPULAUAN BANGKA BELITUNG,BANGKA BARAT,JEBUS,PEBUAR,KEPULAUAN BANGKA BELITUNG,283,332
KEPULAUAN BANGKA BELITUNG,BANGKA BARAT,JEBUS,SINAR MANIK,KEPULAUAN BANGKA BELITUNG,414,956
KEPULAUAN BANGKA BELITUNG,BANGKA BARAT,JEBUS,AIR KUANG,KEPULAUAN BANGKA BELITUNG,380,1003
KEPULAUAN BANGKA BELITUNG,BANGKA BARAT,KELAPA,KELAPA,KEPULAUAN BANGKA BELITUNG,1631,2291
KEPULAUAN BANGKA BELITUNG,BANGKA BARAT,KELAPA,MANCUNG,KEPULAUAN BANGKA BELITUNG,273,739
KEPULAUAN BANGKA BELITUNG,BANGKA BARAT,KELAPA,KAYU ARANG,KEPULAUAN BANGKA BELITUNG,383,708
KEPULAUAN BANGKA BELITUNG,BANGKA BARAT,KELAPA,PUSUK,KEPULAUAN BANGKA BELITUNG,539,685
KEPULAUAN BANGKA BELITUNG,BANGKA BARAT,KELAPA,DENDANG,KEPULAUAN BANGKA BELITUNG,1140,1672
KEPULAUAN BANGKA BELITUNG,BANGKA BARAT,KELAPA,KACUNG,KEPULAUAN BANGKA BELITUNG,486,965
KEPULAUAN BANGKA BELITUNG,BANGKA BARAT,KELAPA,SINAR SARI,KEPULAUAN BANGKA BELITUNG,294,639
KEPULAUAN BANGKA BELITUNG,BANGKA BARAT,KELAPA,BERUAS,KEPULAUAN BANGKA BELITUNG,286,772
KEPULAUAN BANGKA BELITUNG,BANGKA BARAT,KELAPA,TEBING,KEPULAUAN BANGKA BELITUNG,307,507
KEPULAUAN BANGKA BELITUNG,BANGKA BARAT,KELAPA,AIR BULIN,KEPULAUAN BANGKA BELITUNG,295,859
KEPULAUAN BANGKA BELITUNG,BANGKA BARAT,KELAPA,TERENTANG,KEPULAUAN BANGKA BELITUNG,381,1050
KEPULAUAN BANGKA BELITUNG,BANGKA BARAT,KELAPA,TUGANG,KEPULAUAN BANGKA BELITUNG,575,1273
KEPULAUAN BANGKA BELITUNG,BANGKA BARAT,KELAPA,TUIK,KEPULAUAN BANGKA BELITUNG,266,168
KEPULAUAN BANGKA BELITUNG,BANGKA BARAT,KELAPA,PANGKAL BERAS,KEPULAUAN BANGKA BELITUNG,442,609
KEPULAUAN BANGKA BELITUNG,BELITUNG TIMUR,KELAPA KAMPIT,MENTAWAK,KEPULAUAN BANGKA BELITUNG,900,1600
KEPULAUAN BANGKA BELITUNG,BELITUNG TIMUR,KELAPA KAMPIT,SENYUBUK,KEPULAUAN BANGKA BELITUNG,757,1758
KEPULAUAN BANGKA BELITUNG,BELITUNG TIMUR,KELAPA KAMPIT,CENDIL,KEPULAUAN BANGKA BELITUNG,202,860
KEPULAUAN BANGKA BELITUNG,BELITUNG TIMUR,KELAPA KAMPIT,BUDING,KEPULAUAN BANGKA BELITUNG,518,1263
KEPULAUAN BANGKA BELITUNG,BELITUNG TIMUR,KELAPA KAMPIT,MAYANG,KEPULAUAN BANGKA BELITUNG,475,1430
KEPULAUAN BANGKA BELITUNG,BELITUNG TIMUR,KELAPA KAMPIT,PEMBAHARUAN,KEPULAUAN BANGKA BELITUNG,480,1338
KEPULAUAN BANGKA BELITUNG,BANGKA SELATAN,KEPULAUAN PONGOK,PONGOK,KEPULAUAN BANGKA BELITUNG,295,1420
KEPULAUAN BANGKA BELITUNG,BANGKA SELATAN,KEPULAUAN PONGOK,CELAGEN,KEPULAUAN BANGKA BELITUNG,115,620
KEPULAUAN BANGKA BELITUNG,BANGKA TENGAH,KOBA,KOBA,KEPULAUAN BANGKA BELITUNG,988,2511
KEPULAUAN BANGKA BELITUNG,BANGKA TENGAH,KOBA,ARUNG DALAM,KEPULAUAN BANGKA BELITUNG,1200,794
KEPULAUAN BANGKA BELITUNG,BANGKA TENGAH,KOBA,BEROK,KEPULAUAN BANGKA BELITUNG,889,621
KEPULAUAN BANGKA BELITUNG,BANGKA TENGAH,KOBA,PADANG MULIA,KEPULAUAN BANGKA BELITUNG,998,1477
KEPULAUAN BANGKA BELITUNG,BANGKA TENGAH,KOBA,SIMPANG PERLANG,KEPULAUAN BANGKA BELITUNG,856,1932
KEPULAUAN BANGKA BELITUNG,BANGKA TENGAH,KOBA,NIBUNG,KEPULAUAN BANGKA BELITUNG,1281,1366
KEPULAUAN BANGKA BELITUNG,BANGKA TENGAH,KOBA,KURAU  (TIMUR),KEPULAUAN BANGKA BELITUNG,755,980
KEPULAUAN BANGKA BELITUNG,BANGKA TENGAH,KOBA,GUNTUNG,KEPULAUAN BANGKA BELITUNG,434,283
KEPULAUAN BANGKA BELITUNG,BANGKA TENGAH,KOBA,PENYAK,KEPULAUAN BANGKA BELITUNG,1076,1358
KEPULAUAN BANGKA BELITUNG,BANGKA TENGAH,KOBA,TERENTANG III,KEPULAUAN BANGKA BELITUNG,454,483
KEPULAUAN BANGKA BELITUNG,BANGKA TENGAH,KOBA,KURAU BARAT,KEPULAUAN BANGKA BELITUNG,381,833
KEPULAUAN RIAU,KARIMUN,KUNDUR UTARA,PERAYUN,KEPULAUAN RIAU,394,516
KEPULAUAN BANGKA BELITUNG,BANGKA SELATAN,LEPAR PONGOK,TANJUNG LABU,KEPULAUAN BANGKA BELITUNG,475,772
KEPULAUAN BANGKA BELITUNG,BANGKA SELATAN,LEPAR PONGOK,TANJUNG SANGKAR,KEPULAUAN BANGKA BELITUNG,417,954
KEPULAUAN BANGKA BELITUNG,BANGKA SELATAN,LEPAR PONGOK,KUMBUNG,KEPULAUAN BANGKA BELITUNG,62,319
KEPULAUAN BANGKA BELITUNG,BANGKA SELATAN,LEPAR PONGOK,PENUTUK,KEPULAUAN BANGKA BELITUNG,858,768
KEPULAUAN BANGKA BELITUNG,BANGKA TENGAH,LUBUK BESAR,PERLANG,KEPULAUAN BANGKA BELITUNG,1374,2318
KEPULAUAN BANGKA BELITUNG,BANGKA TENGAH,LUBUK BESAR,BATU BERIGA,KEPULAUAN BANGKA BELITUNG,333,946
KEPULAUAN BANGKA BELITUNG,BANGKA TENGAH,LUBUK BESAR,LUBUK BESAR,KEPULAUAN BANGKA BELITUNG,697,2444
KEPULAUAN BANGKA BELITUNG,BANGKA TENGAH,LUBUK BESAR,KULUR,KEPULAUAN BANGKA BELITUNG,565,890
KEPULAUAN BANGKA BELITUNG,BANGKA TENGAH,LUBUK BESAR,LUBUK LINGKUK,KEPULAUAN BANGKA BELITUNG,273,1002
KEPULAUAN BANGKA BELITUNG,BANGKA TENGAH,LUBUK BESAR,LUBUK PABRIK,KEPULAUAN BANGKA BELITUNG,389,2112
KEPULAUAN BANGKA BELITUNG,BANGKA TENGAH,LUBUK BESAR,TRUBUS,KEPULAUAN BANGKA BELITUNG,34,890
KEPULAUAN BANGKA BELITUNG,BANGKA TENGAH,LUBUK BESAR,KULUR ILIR,KEPULAUAN BANGKA BELITUNG,495,610
KEPULAUAN BANGKA BELITUNG,BANGKA TENGAH,LUBUK BESAR,BELIMBING,KEPULAUAN BANGKA BELITUNG,242,341
KEPULAUAN BANGKA BELITUNG,BELITUNG TIMUR,MANGGAR,LALANG JAYA,KEPULAUAN BANGKA BELITUNG,481,1548
KEPULAUAN BANGKA BELITUNG,BELITUNG TIMUR,MANGGAR,KURNIA JAYA,KEPULAUAN BANGKA BELITUNG,669,2396
KEPULAUAN BANGKA BELITUNG,BELITUNG TIMUR,MANGGAR,PADANG,KEPULAUAN BANGKA BELITUNG,1072,2877
KEPULAUAN BANGKA BELITUNG,BELITUNG TIMUR,MANGGAR,KELUBI,KEPULAUAN BANGKA BELITUNG,412,1221
KEPULAUAN BANGKA BELITUNG,BELITUNG TIMUR,MANGGAR,LALANG,KEPULAUAN BANGKA BELITUNG,760,2131
KEPULAUAN BANGKA BELITUNG,BELITUNG TIMUR,MANGGAR,BARU,KEPULAUAN BANGKA BELITUNG,891,4234
KEPULAUAN BANGKA BELITUNG,BELITUNG TIMUR,MANGGAR,PULAU BUKU LIMAU,KEPULAUAN BANGKA BELITUNG,112,334
KEPULAUAN BANGKA BELITUNG,BELITUNG TIMUR,MANGGAR,MEKAR JAYA,KEPULAUAN BANGKA BELITUNG,397,1382
KEPULAUAN BANGKA BELITUNG,BELITUNG TIMUR,MANGGAR,BENTAIAN JAYA,KEPULAUAN BANGKA BELITUNG,184,713
KEPULAUAN BANGKA BELITUNG,BELITUNG,MEMBALONG,MEMBALONG,KEPULAUAN BANGKA BELITUNG,546,2546
KEPULAUAN BANGKA BELITUNG,BELITUNG,MEMBALONG,PERPAT,KEPULAUAN BANGKA BELITUNG,342,825
KEPULAUAN BANGKA BELITUNG,BELITUNG,MEMBALONG,LASSAR,KEPULAUAN BANGKA BELITUNG,282,1827
KEPULAUAN BANGKA BELITUNG,BELITUNG,MEMBALONG,SIMPANG RUSA,KEPULAUAN BANGKA BELITUNG,354,1535
KEPULAUAN BANGKA BELITUNG,BELITUNG,MEMBALONG,KEMBIRI,KEPULAUAN BANGKA BELITUNG,416,1382
KEPULAUAN BANGKA BELITUNG,BELITUNG,MEMBALONG,BANTAN,KEPULAUAN BANGKA BELITUNG,180,1374
KEPULAUAN BANGKA BELITUNG,BELITUNG,MEMBALONG,TANJUNG RUSA,KEPULAUAN BANGKA BELITUNG,260,1159
KEPULAUAN BANGKA BELITUNG,BELITUNG,MEMBALONG,MENTIGI,KEPULAUAN BANGKA BELITUNG,125,824
KEPULAUAN BANGKA BELITUNG,BELITUNG,MEMBALONG,PULAU SELIU,KEPULAUAN BANGKA BELITUNG,132,585
KEPULAUAN BANGKA BELITUNG,BELITUNG,MEMBALONG,PULAU SUMEDANG,KEPULAUAN BANGKA BELITUNG,31,259
KEPULAUAN BANGKA BELITUNG,BELITUNG,MEMBALONG,GUNUNG RITING,KEPULAUAN BANGKA BELITUNG,155,749
KEPULAUAN BANGKA BELITUNG,BELITUNG,MEMBALONG,PADANG KANDIS,KEPULAUAN BANGKA BELITUNG,92,755
KEPULAUAN BANGKA BELITUNG,BANGKA,MENDO BARAT,PETALING,KEPULAUAN BANGKA BELITUNG,1091,785
KEPULAUAN BANGKA BELITUNG,BANGKA,MENDO BARAT,PENAGAN,KEPULAUAN BANGKA BELITUNG,1270,1677
KEPULAUAN BANGKA BELITUNG,BANGKA,MENDO BARAT,ZED,KEPULAUAN BANGKA BELITUNG,1546,278
KEPULAUAN BANGKA BELITUNG,BANGKA,MENDO BARAT,MENDO,KEPULAUAN BANGKA BELITUNG,959,295
KEPULAUAN BANGKA BELITUNG,BANGKA,MENDO BARAT,PAYA BENUA,KEPULAUAN BANGKA BELITUNG,2055,463
KEPULAUAN BANGKA BELITUNG,BANGKA,MENDO BARAT,CENGKONG ABANG,KEPULAUAN BANGKA BELITUNG,1104,738
KEPULAUAN BANGKA BELITUNG,BANGKA,MENDO BARAT,KACE,KEPULAUAN BANGKA BELITUNG,1834,1657
KEPULAUAN BANGKA BELITUNG,BANGKA,MENDO BARAT,KEMUJA,KEPULAUAN BANGKA BELITUNG,2065,746
KEPULAUAN BANGKA BELITUNG,BANGKA,MENDO BARAT,AIR DUREN,KEPULAUAN BANGKA BELITUNG,457,191
KEPULAUAN BANGKA BELITUNG,BANGKA,MENDO BARAT,KOTA KAPUR,KEPULAUAN BANGKA BELITUNG,921,273
KEPULAUAN BANGKA BELITUNG,BANGKA,MENDO BARAT,AIR BULUH,KEPULAUAN BANGKA BELITUNG,246,631
KEPULAUAN BANGKA BELITUNG,BANGKA,MENDO BARAT,RUKAM,KEPULAUAN BANGKA BELITUNG,201,406
KEPULAUAN BANGKA BELITUNG,BANGKA,MENDO BARAT,LABUH AIR PANDAN,KEPULAUAN BANGKA BELITUNG,490,276
KEPULAUAN BANGKA BELITUNG,BANGKA,MENDO BARAT,KACE TIMUR,KEPULAUAN BANGKA BELITUNG,741,678
KEPULAUAN BANGKA BELITUNG,BANGKA,MENDO BARAT,PETALING BANJAR,KEPULAUAN BANGKA BELITUNG,1375,738
KEPULAUAN BANGKA BELITUNG,BANGKA,MERAWANG,BATU RUSA,KEPULAUAN BANGKA BELITUNG,1450,1209
KEPULAUAN BANGKA BELITUNG,BANGKA,MERAWANG,BALUN IJUK,KEPULAUAN BANGKA BELITUNG,1964,815
KEPULAUAN BANGKA BELITUNG,BANGKA,MERAWANG,RIDING PANJANG,KEPULAUAN BANGKA BELITUNG,545,1172
KEPULAUAN BANGKA BELITUNG,BANGKA,MERAWANG,JURUNG,KEPULAUAN BANGKA BELITUNG,316,718
KEPULAUAN BANGKA BELITUNG,BANGKA,MERAWANG,KIMAK,KEPULAUAN BANGKA BELITUNG,1700,452
KEPULAUAN BANGKA BELITUNG,BANGKA,MERAWANG,PAGARAWAN,KEPULAUAN BANGKA BELITUNG,1023,1470
KEPULAUAN BANGKA BELITUNG,BANGKA,MERAWANG,MERAWANG,KEPULAUAN BANGKA BELITUNG,115,1010
KEPULAUAN BANGKA BELITUNG,BANGKA,MERAWANG,AIR ANYIR,KEPULAUAN BANGKA BELITUNG,497,728
KEPULAUAN BANGKA BELITUNG,BANGKA,MERAWANG,DWI MAKMUR,KEPULAUAN BANGKA BELITUNG,14,446
KEPULAUAN BANGKA BELITUNG,BANGKA,MERAWANG,JADA BAHRIN,KEPULAUAN BANGKA BELITUNG,967,235
KEPULAUAN BANGKA BELITUNG,BANGKA BARAT,MUNTOK,TANJUNG,KEPULAUAN BANGKA BELITUNG,3378,4253
KEPULAUAN BANGKA BELITUNG,BANGKA BARAT,MUNTOK,SUNGAI DAENG,KEPULAUAN BANGKA BELITUNG,1878,2905
KEPULAUAN BANGKA BELITUNG,BANGKA BARAT,MUNTOK,SUNGAI BARU,KEPULAUAN BANGKA BELITUNG,1675,1795
KEPULAUAN BANGKA BELITUNG,BANGKA BARAT,MUNTOK,AIR PUTIH,KEPULAUAN BANGKA BELITUNG,441,1176
KEPULAUAN BANGKA BELITUNG,BANGKA BARAT,MUNTOK,AIR BELO,KEPULAUAN BANGKA BELITUNG,710,1426
KEPULAUAN BANGKA BELITUNG,BANGKA BARAT,MUNTOK,BELO LAUT,KEPULAUAN BANGKA BELITUNG,2302,4137
KEPULAUAN BANGKA BELITUNG,BANGKA BARAT,MUNTOK,AIR LIMAU,KEPULAUAN BANGKA BELITUNG,170,851
KEPULAUAN BANGKA BELITUNG,BANGKA TENGAH,NAMANG,NAMANG,KEPULAUAN BANGKA BELITUNG,1001,528
KEPULAUAN BANGKA BELITUNG,BANGKA TENGAH,NAMANG,CAMBAI,KEPULAUAN BANGKA BELITUNG,436,470
KEPULAUAN BANGKA BELITUNG,BANGKA TENGAH,NAMANG,KAYU BESI,KEPULAUAN BANGKA BELITUNG,22,1035
KEPULAUAN BANGKA BELITUNG,BANGKA TENGAH,NAMANG,JELUTUNG,KEPULAUAN BANGKA BELITUNG,1173,474
KEPULAUAN BANGKA BELITUNG,BANGKA TENGAH,NAMANG,BELILIK,KEPULAUAN BANGKA BELITUNG,785,529
KEPULAUAN BANGKA BELITUNG,BANGKA TENGAH,NAMANG,BASKARA BAKTI,KEPULAUAN BANGKA BELITUNG,454,748
KEPULAUAN BANGKA BELITUNG,BANGKA TENGAH,NAMANG,BUKIT KIJANG,KEPULAUAN BANGKA BELITUNG,287,343
KEPULAUAN BANGKA BELITUNG,BANGKA TENGAH,NAMANG,CAMBAI SELATAN,KEPULAUAN BANGKA BELITUNG,428,453
KEPULAUAN BANGKA BELITUNG,KOTA PANGKALPINANG,PANGKAL BALAM,PASIR GARAM,KEPULAUAN BANGKA BELITUNG,315,1315
